messier_number,canonical_name,slug,canonical_entity_type,target_scope,coordinate_role,requested_identifier,oid,main_id,otype,ra,dec,coo_qual,coo_bibcode
97,Messier 97,messier-97,nebula,object,provider_record_catalogue_anchor,M  97,552802,M  97,PN,168.69880122825,55.01902300891,A,2020yCat.1350....0G
98,Messier 98,messier-98,galaxy,object,provider_record_catalogue_anchor,M  98,1910559,M  98,LIN,183.45121278623998,14.900542632,C,2020yCat.1350....0G
99,Messier 99,messier-99,galaxy,object,provider_record_catalogue_anchor,M  99,1910773,M  99,H2G,184.7067708333333,14.416488888888884,C,2006AJ....131.1163S
100,Messier 100,messier-100,galaxy,object,provider_record_catalogue_anchor,M 100,1934257,M 100,AGN,185.72887499732997,15.822304516100004,A,2020yCat.1350....0G
101,Messier 101,messier-101,galaxy,object,provider_record_catalogue_anchor,M 101,529086,M 101,GiP,210.80242916666668,54.34875,C,2006AJ....131.1163S
102,Messier 102,messier-102,galaxy,object,provider_record_catalogue_anchor,M 102,457084,M 102,SyG,226.62317083333332,55.76330833333333,C,2006AJ....131.1163S
103,Messier 103,messier-103,cluster,object,provider_record_catalogue_anchor,M 103,168578,M 103,OpC,23.339166666666667,60.65888888888889,E,2021A&A...647A..19T
104,Messier 104,messier-104,galaxy,object,provider_record_catalogue_anchor,M 104,1971559,M 104,LIN,189.99763274591663,-11.623054494444448,A,2020A&A...644A.159C
105,Messier 105,messier-105,galaxy,object,provider_record_catalogue_anchor,M 105,1750333,M 105,LIN,161.95666666666665,12.581630555555554,C,2006AJ....131.1163S
106,Messier 106,messier-106,galaxy,object,provider_record_catalogue_anchor,M 106,609478,M 106,Sy2,184.7400833333333,47.30371944444444,C,2006AJ....131.1163S
107,Messier 107,messier-107,cluster,object,provider_record_catalogue_anchor,M 107,2579729,M 107,GlC,248.13275,-13.05377777777778,D,2010AJ....140.1830G
108,Messier 108,messier-108,galaxy,object,provider_record_catalogue_anchor,M 108,534268,M 108,AGN,167.87902916666664,55.67412222222222,C,2006AJ....131.1163S
109,Messier 109,messier-109,galaxy,object,provider_record_catalogue_anchor,M 109,569485,M 109,GiG,179.39984644985,53.37472391176001,A,2020yCat.1350....0G
110,Messier 110,messier-110,galaxy,object,provider_record_catalogue_anchor,M 110,1575545,M 110,GiG,10.09190514583,41.68541867226,A,2020yCat.1350....0G
